,brand,model,network_technology,2G_bands,3G_bands,4G_bands,network_speed,GPRS,EDGE,announced,dimentions,weight_g,SIM,display_type,display_resolution,display_size,OS,CPU,GPU,memory_card,internal_memory,RAM,primary_camera,secondary_camera,loud_speaker,audio_jack,WLAN,bluetooth,GPS,NFC,radio,USB,sensors,battery,colors,approx_price_EUR,img_url
0,Apple,iPad Pro 12.9,GSM / CDMA / HSPA / EVDO / LTE,1,1,1,HSPA 42.2/5.76 Mbps  LTE-A (3CA) Cat9 450/50 Mbps  EV-DO Rev.A 3.1 Mbps,Yes,Yes,2017,305.7 x 220.6 x 6.9 mm (12.04 x 8.69 x 0.27 in),Heavy,E-SIM,LED-backlit IPS LCD  capacitive touchscreen  16M colors,12.9 inches (~76.4% screen-to-body ratio),2732 x 2048 pixels (~265 ppi pixel density),iOS 10.3.2,2360 MHz(Cores: 3),A11 GPU,No,64/256/512 GB,4GB RAM,12 MP| f/1.8| phase detection autofocus| OIS| quad-LED (dual tone) flash,7 MP| f/2.2| 32mm| 1080p@30fps| 720p@240fps| face detection| HDR| panorama,Yes with stereo speakers (4 speakers),Yes,Yes,Yes,Yes,Yes,No,microUSB 3.0,Fingerprint (front-mounted)| accelerometer| gyro| compass| barometer,Super High,Space Gray| Gold| Silver,Super High,http://cdn2.gsmarena.com/vv/bigpic/apple-ipad-pro-129-2017.jpg
1,Apple,iPad Pro 10.5,GSM / CDMA / HSPA / EVDO / LTE,1,1,1,HSPA 42.2/5.76 Mbps  LTE-A (3CA) Cat9 450/50 Mbps  EV-DO Rev.A 3.1 Mbps,Yes,Yes,2017,250.6 x 174.1 x 6.1 mm (9.87 x 6.85 x 0.24 in),Heavy,E-SIM,LED-backlit IPS LCD  capacitive touchscreen  16M colors,10.5 inches (~78.3% screen-to-body ratio),1668 x 2224 pixels (~265 ppi pixel density),iOS 10.3.2,2360 MHz(Cores: 3),A 10 GPU,No,64/256/512 GB,4GB RAM,12 MP| f/1.8| phase detection autofocus| OIS| quad-LED (dual tone) flash,7 MP| f/2.2| 32mm| 1080p@30fps| 720p@240fps| face detection| HDR| panorama,Yes with stereo speakers (4 speakers),Yes,Yes,Yes,Yes,Yes,No,microUSB 3.0,Fingerprint (front-mounted)| accelerometer| gyro| compass| barometer,Super High,Space Gray| Rose Gold| Gold| Silver,Super High,http://cdn2.gsmarena.com/vv/bigpic/apple-ipad-pro-105-2017.jpg
2,Apple,iPad 9.7,GSM / CDMA / HSPA / EVDO / LTE,1,1,1,HSPA 42.2/5.76 Mbps  LTE-A Cat4 150/50 Mbps  EV-DO Rev.A 3.1 Mbps,Yes,Yes,2017,240 x 169.5 x 7.5 mm (9.45 x 6.67 x 0.30 in),Heavy,E-SIM,LED-backlit IPS LCD  capacitive touchscreen  16M colors,9.7 inches (~71.6% screen-to-body ratio),1536 x 2048 pixels (~264 ppi pixel density),iOS 10.3| upgradable to iOS 10.3.2,Dual-core 1.84 GHz (Twister),PowerVR GT7600 (six-core graphics),No,32/128 GB,2 GB RAM,8 MP| f/2.4| 31mm| autofocus,1.2 MP| f/2.2| 31mm| 720p@30fps| face detection| HDR| FaceTime over Wi-Fi or Cellular,Yes with stereo speakers,Yes,Yes,Yes,Yes,No,No,microUSB 2.0,Fingerprint (front-mounted)| accelerometer| gyro| compass| barometer,Super High,Silver| Gold| Space Gray,High,http://cdn2.gsmarena.com/vv/bigpic/apple-ipad-97-2017.jpg
3,Huawei,Honor 9,GSM / CDMA / HSPA / LTE,1,1,1,HSPA  LTE,Yes,Yes,2017,147.3 x 70.9 x 7.5 mm (5.80 x 2.79 x 0.30 in),BelowAvg,Dual-SIM,LTPS IPS LCD capacitive touchscreen  16M colors,5.15 inches (~70.0% screen-to-body ratio),1080 x 1920 pixels (~428 ppi pixel density),Android 7.0 (Nougat),Octa-core (4x2.4 GHz Cortex-A73 & 4x1.8 GHz Cortex-A53),Mali-G71 MP8,microSD  up to 256 GB (uses SIM 2 slot),64 GB,4/6 GB RAM or 128 GB| 6 GB RAM,Dual 20MP + 12 MP| f/2.2| phase detection autofocus| 2x optical zoom| dual-LED (dual tone) flash,8 MP| f/2.0,Yes,Yes,Yes,Yes,Yes,Yes,No,Type C 1.0,Fingerprint (front-mounted)| accelerometer| gyro| proximity| compass,High,Amber Gold| Seagull Grey| Charm Sea Blue,High,http://cdn2.gsmarena.com/vv/bigpic/huawei-honor-9-.jpg
4,Huawei,Y7 Prime,GSM / CDMA / HSPA / LTE,1,1,1,HSPA  LTE,Yes,Yes,2017,153.6 x 76.4 x 8.4 mm (6.05 x 3.01 x 0.33 in),BelowAvg,Dual-SIM,IPS LCD capacitive touchscreen  16M colors,5.5 inches (~71.1% screen-to-body ratio),720 x 1280 pixels (~267 ppi pixel density),Android 7.0 (Nougat),Octa-core 1.4 GHz Cortex-A53,Adreno 505,microSD  up to 256 GB (uses SIM 2 slot),32 GB,3 GB RAM,12 MP| f/2.2| phase detection autofocus| LED flash,8 MP| f/2.0,Yes,Yes,Yes,Yes,Yes,No,Yes,microUSB 2.0,Fingerprint (rear-mounted)| accelerometer| proximity| compass,High,Silver| gray| gold,Moderate,http://cdn2.gsmarena.com/vv/bigpic/huawei-enjoy-7-plus-new.jpg
5,Huawei,MediaPad M3 Lite 8,GSM / CDMA / HSPA / LTE,1,1,1,HSPA 42.2/5.76 Mbps  LTE Cat4 150/50 Mbps,Yes,Yes,2017,213.3 x 123.3 x 7.5 mm (8.40 x 4.85 x 0.30 in),Heavy,Single-SIM,S-IPS LCD capacitive touchscreen  16M colors,8.0 inches (~70.6% screen-to-body ratio),1200 x 1920 pixels (~283 ppi pixel density),Android 7.0 (Nougat),Octa-core 1.4 GHz Cortex-A53,Adreno 505,microSD  up to 256 GB,32 GB,3 GB RAM or 64 GB| 4 GB RAM,8 MP| autofocus,8 MP,Yes,Yes,Yes,Yes,Yes,No,No,microUSB 2.0,Accelerometer| proximity,High,Gold| white| space grey,Super High,http://cdn2.gsmarena.com/vv/bigpic/huawei-mediapad-m3-8-lite.jpg
6,Huawei,MediaPad T3 10,GSM / HSPA / LTE,1,1,1,HSPA 42.2/5.76 Mbps  LTE Cat4 150/50 Mbps,Yes,Yes,2017,229.8 x 159.8 x 8 mm (9.05 x 6.29 x 0.31 in),Heavy,Single-SIM,IPS LCD capacitive touchscreen  16M colors,9.6 inches| 9.6 (~72.8% screen-to-body ratio),800 x 1280 pixels (~157 ppi pixel density),Android 7.0 (Nougat),Quad-core 1.4 GHz Cortex-A53,Adreno 308,No,16 GB,2 GB RAM or 32 GB| 3 RAM,5 MP| autofocus,2 MP,Yes,Yes,Yes,Yes,Yes,No,Yes,microUSB 2.0,Accelerometer,High,Space Gray| Luxurious Gold,Moderate,http://cdn2.gsmarena.com/vv/bigpic/huawei-mediapad-t3-10.jpg
7,Huawei,MediaPad M3 Lite 10,GSM / HSPA / LTE,1,1,1,HSPA 42.2/5.76 Mbps  LTE Cat4 150/50 Mbps,Yes,Yes,2017,241.3 x 171.5 x 7.1 mm (9.50 x 6.75 x 0.28 in),Heavy,Single-SIM,IPS LCD capacitive touchscreen  16M colors,10.1 inches (~71.5% screen-to-body ratio),1200 x 1920 pixels (~224 ppi pixel density),Android 7.0 (Nougat),Octa-core 1.4 GHz Cortex-A53,Adreno 505,No,16/32 GB,3 GB RAM or 64 GB| 4 GB RAM,8 MP| autofocus,8 MP,Yes with stereo speakers (4 speakers),Yes,Yes,Yes,Yes,No,No,microUSB 2.0,Accelerometer| proximity| gyro (Bach-L09 only),Super High,Gold| white| space grey,High,http://cdn2.gsmarena.com/vv/bigpic/huawei-mediapad-m3-10-lite.jpg
8,Huawei,nova 2 plus,GSM / HSPA / LTE,1,1,1,HSPA  LTE,Yes,Yes,2017,153.9 x 74.9 x 6.9 mm (6.06 x 2.95 x 0.27 in),BelowAvg,Dual-SIM,LTPS IPS LCD capacitive touchscreen  16M colors,5.5 inches (~72.3% screen-to-body ratio),1080 x 1920 pixels (~401 ppi pixel density),Android 7.0 (Nougat),Octa-core (4x2.36 GHz Cortex-A53 & 4x1.7 GHz Cortex-A53),Mali-T830 MP2,microSD  up to 256 GB (uses SIM 2 slot),128 GB,4 GB RAM,Dual 12 + 8 MP| f/1.8| phase detection autofocus| LED flash,20 MP,Yes,Yes,Yes,Yes,Yes,No,No,microUSB 2.0,Fingerprint (rear-mounted)| accelerometer| gyro| proximity| compass,High,Aurora Blue| Grass Green| Streamer Gold| Obsidian Black| Rose Gold,High,http://cdn2.gsmarena.com/vv/bigpic/huawei-nova-2-plus.jpg
9,Huawei,nova 2,GSM / HSPA / LTE,1,1,1,HSPA  LTE,Yes,Yes,2017,142.2 x 68.9 x 6.9 mm (5.60 x 2.71 x 0.27 in),Light,Dual-SIM,LTPS IPS LCD capacitive touchscreen  16M colors,5.0 inches (~69.7% screen-to-body ratio),1080 x 1920 pixels (~443 ppi pixel density),Android 7.0 (Nougat),Octa-core (4x2.36 GHz Cortex-A53 & 4x1.7 GHz Cortex-A53),Mali-T830 MP2,microSD  up to 256 GB (uses SIM 2 slot),64 GB,4 GB RAM,Dual 12 + 8 MP| f/1.8| phase detection autofocus| LED flash,20 MP,Yes,Yes,Yes,Yes,Yes,No,No,microUSB 2.0,Fingerprint (rear-mounted)| accelerometer| gyro| proximity| compass,High,Aurora Blue| Grass Green| Streamer Gold| Obsidian Black| Rose Gold,High,http://cdn2.gsmarena.com/vv/bigpic/huawei-nova-2.jpg
